Against,Date,Runs,Balls,4s,6s
Srilanka,2nd April 2011,18,14,2,-
Pakistan,30th March 2011,85,115,11,-
Australia,24th March 2011,53,68,7,-
West Indies,20th March 2011,2,4,-,-
Srilanka,23-Mar-07,0,3,-,-
Bermuda,19-Mar-07,57,29,2,4
Bangladesh,17-Mar-07,7,26,1,-
Australia,23-Mar-03,4,5,1,-
Kenya,20-Mar-03,83,101,5,1
New Zealand,14-Mar-03,15,16,3,-
Srilanka,10-Mar-03,97,120,7,1
Kenya,07-Mar-03,5,12,1,-
Pakistan,01-Mar-03,98,75,12,1
England,26-Feb-03,50,52,8,1
Namibia,23-Feb-03,152,151,18,-
Zimbabwe,19-Feb-03,81,91,10,-
Australia,15-Feb-03,36,59,3,-
Netherlands,12-Feb-03,52,72,7,-
New Zealand,12-Jun-99,16,22,2,-
Pakistan,08-Jun-99,45,65,5,-
Australia,04-Jun-99,0,4,-,-
England,29-May-99,22,40,2,-
Srilanka,26-May-99,2,3,-,-
Kenya,23-May-99,140,101,16,3
South Africa,15-May-99,28,46,5,-
Srilanka,13-Mar-96,65,88,9,-
Pakistan,09-Mar-96,31,59,3,-
Zimbabwe,06-Mar-96,3,12,-,-
Srilanka,02-Mar-96,137,137,8,5
Australia,27-Feb-96,90,84,14,1
West Indies,21-Feb-96,70,91,8,-
Kenya,18-Feb-96,127,138,15,1
South Africa,15-Mar-92,14,14,1,-
New Zealand,12-Mar-92,84,107,6,-
West Indies,10-Mar-92,4,11,-,-
Zimbabwe,07-Mar-92,81,77,8,1
Pakistan,04-Mar-92,54,62,3,-
Australia,01-Mar-92,11,19,1,-
England,22-Feb-92,35,44,5,-
